,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.3099096854833965,0.607601121541575,-0.7023085639418215
1,2018-09-20,2018-10-14,1.4757489205700949,-2.4198622248386616,-3.8956111454087567
2,2018-10-14,2018-12-01,-2.9064375377721317,-0.5894822209485224,2.3169553168236092
3,2018-12-01,2018-12-25,0.33589282032484774,0.4259561440341011,0.09006332370925335
4,2018-12-25,2019-01-18,-2.8439322464006698,2.390377835619096,5.234310082019766
5,2019-01-18,2019-02-11,-0.6414150590115639,-0.8677683644090846,-0.22635330539752063
6,2019-02-11,2019-03-07,2.479537969086589,0.41798142242795233,-2.0615565466586365
7,2019-03-07,2019-04-24,-1.6188537516811055,-2.11453872377755,-0.49568497209644446
8,2019-04-24,2019-05-18,0.24026510596856399,0.9233015953345548,0.6830364893659908
9,2019-05-18,2019-06-11,2.062619253505179,2.3663346785494226,0.30371542504424376
10,2019-06-11,2019-07-29,1.698256007395051,2.89579339666175,1.197537389266699
11,2019-07-29,2019-08-22,-1.6067425861575018,-1.3706330693493685,0.2361095168081333
12,2019-08-22,2019-09-15,1.0726332366727083,0.5474004567105897,-0.5252327799621186
13,2019-09-15,2019-10-09,-1.9172103329591712,-1.38741860673526,0.5297917262239111
14,2019-10-09,2019-11-26,-1.3582070804324455,-0.9496793865186994,0.4085276939137461
15,2019-11-26,2020-01-13,1.7247380226001114,1.947411835632348,0.22267381303223654
16,2020-01-13,2020-02-06,-1.764209118711219,2.4924517328337266,4.256660851544946
17,2020-02-06,2020-03-01,2.2891924928347316,1.2493837960193481,-1.0398086968153835
18,2020-03-01,2020-03-25,-1.3840221407997335,0.295175963201195,1.6791981040009285
